Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.29,0.02,-0.11,22.19,-44.52,34.09
-1.32,0.13,-0.1,12.95,-50.75,42.77
-1.33,0.22,-0.11,-16.03,-54.46,50.19
-1.33,0.31,-0.15,-11.06,-53.27,57.47
-1.33,0.36,-0.24,-15.47,-46.62,64.19
-1.37,0.37,-0.28,-14.14,-45.85,68.18
-1.33,0.44,-0.3,-4.27,-46.83,78.19
-1.3,0.39,-0.42,4.76,-47.74,83.86
-1.25,0.31,-0.47,4.48,-57.26,88.2
-1.23,0.28,-0.51,-1.05,-68.18,94.43
-1.2,0.2,-0.56,-19.04,-76.86,98.14
-1.18,0.05,-0.57,-37.59,-79.66,97.23
-1.17,-0.16,-0.53,-42.84,-73.29,94.92
-1.18,-0.31,-0.5,-42.91,-62.3,96.11
-1.19,-0.42,-0.47,-44.31,-49.49,94.29
-1.09,-0.42,-0.43,-44.45,-45.01,100.73
-1.01,-0.35,-0.4,-45.78,-40.67,113.05
-0.96,-0.28,-0.32,-48.02,-31.22,126.91
-0.99,-0.2,-0.26,-60.97,-22.05,133.14
-1.01,-0.19,-0.25,-55.93,-13.23,139.65
-1.04,-0.11,-0.3,-46.83,-8.4,144.97
-1.06,-0.04,-0.34,-42.35,-8.4,149.24
-1.08,-0.08,-0.37,-31.71,-13.72,154.56
-1.01,0,-0.43,-32.55,-17.57,155.4
-1.01,0.05,-0.49,-34.79,-19.95,155.82
-0.99,0.17,-0.47,-46.2,-28.63,153.3
-1.04,0.24,-0.44,-54.32,-41.72,144.2
-1.03,0.29,-0.34,-57.89,-50.12,136.64
-1.02,0.34,-0.27,-69.86,-57.26,125.72
-0.99,0.36,-0.2,-94.71,-58.73,114.94
-0.95,0.34,-0.17,-118.09,-60.27,102.48
-0.91,0.25,-0.25,-140.91,-66.08,89.18
-0.84,0.16,-0.34,-154.91,-72.94,79.45
-0.78,-0.01,-0.37,-155.4,-79.87,73.22
-0.74,-0.08,-0.34,-156.03,-85.54,67.97
-0.67,-0.14,-0.31,-154.07,-87.36,62.58
-0.57,-0.23,-0.25,-149.94,-86.38,57.26
-0.5,-0.32,-0.21,-140.49,-81.55,52.92
-0.43,-0.39,-0.17,-124.88,-74.27,51.03
-0.38,-0.43,-0.13,-103.81,-65.73,49.56
-0.33,-0.4,-0.08,-85.26,-56.77,47.81
-0.32,-0.35,-0.04,-68.88,-43.54,46.13
-0.31,-0.27,0.01,-54.74,-32.97,44.66
-0.32,-0.15,0.03,-42.56,-22.33,41.79
-0.35,-0.05,0.05,-37.94,-13.3,35.35
-0.38,0.03,0.05,-31.85,-5.95,28.28
-0.43,0.11,0.06,-23.66,0,17.43
-0.48,0.17,0.06,-14.42,5.25,9.24
-0.53,0.21,0.07,-5.25,10.57,2.8
-0.56,0.25,0.08,1.54,12.53,-3.01
-0.58,0.28,0.09,5.88,13.86,-7.98
-0.59,0.3,0.13,8.82,15.75,-12.67
-0.6,0.29,0.15,10.22,18.41,-35
-0.62,0.28,0.15,11.69,22.4,-22.96
-0.63,0.27,0.14,14.63,28.7,-28.14
-0.64,0.25,0.11,17.43,34.3,-34.3
-0.63,0.2,0.09,22.19,38.43,-40.39
-0.71,0.14,0.21,31.5,37.38,-40.81
-0.88,0.27,0.44,51.03,36.96,-24.64
-1,0.54,0.34,52.01,61.46,-7.63
-1.22,0.72,0.05,30.59,82.11,-6.37
-1.5,0.78,-0.2,12.67,83.09,-6.79
-1.65,0.87,-0.3,16.66,68.18,-9.1
-1.7,0.96,-0.32,15.89,39.97,-20.79
-1.48,0.92,-0.18,-2.8,11.76,-41.51
-1.1,0.64,-0.01,-20.51,2.8,-59.92
-0.84,0.25,0.09,-33.67,6.72,-67.9
-0.66,-0.06,0.05,-37.59,25.76,-70.14
-0.64,-0.08,-0.14,-24.57,53.83,-70.91
-0.74,-0.04,-0.36,2.66,62.72,-64.19
-0.82,0.03,-0.42,31.43,64.68,-54.53
-0.96,0.13,-0.36,45.01,67.48,-45.64
-1.11,0.22,-0.33,49.98,67.48,-40.11
-1.19,0.27,-0.35,44.87,63.98,-40.67
-1.21,0.25,-0.35,37.45,60.97,-45.71
-1.17,0.21,-0.33,34.72,57.61,-49.7
-1.09,0.15,-0.3,39.62,58.17,-51.45
-1.02,0.13,-0.28,46.13,57.33,-51.59
-0.97,0.09,-0.27,54.46,53.06,-48.65
-0.93,0.08,-0.25,62.72,47.6,-44.17
-0.92,0.08,-0.24,67.41,41.65,-42.77
-0.95,0.08,-0.24,70.07,33.18,-43.19
