Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.66,-0.39,-0.02,-9.73,-19.6,13.72
-0.64,-0.36,-0.01,-2.45,-13.44,11.27
-0.63,-0.33,-0.02,2.03,-7,8.96
-0.63,-0.29,-0.03,6.79,-1.47,7.14
-0.61,-0.27,-0.04,9.66,3.5,3.36
-0.58,-0.28,-0.05,12.11,10.85,-0.49
-0.56,-0.27,-0.05,14.56,16.45,-6.09
-0.52,-0.28,-0.08,19.32,23.8,-12.11
-0.5,-0.27,-0.1,25.06,28.56,-16.66
-0.5,-0.25,-0.11,32.48,31.43,-20.51
-0.47,-0.37,-0.09,39.62,34.58,-27.37
-0.44,-0.26,-0.07,45.22,39.48,-32.9
-0.42,-0.25,-0.07,50.4,45.85,-35.98
-0.44,-0.18,-0.09,57.05,48.93,-38.78
-0.48,-0.1,-0.08,61.32,46.62,-43.61
-0.55,-0.03,-0.06,57.19,39.97,-51.38
-0.6,0.05,-0.05,48.65,34.58,-56.77
-0.63,0.14,-0.05,37.73,30.94,-60.2
-0.7,0.19,-0.09,35.42,28,-60.97
-0.74,0.2,-0.1,33.39,28.07,-61.46
-0.83,0.18,-0.12,30.45,27.79,-59.5
-0.94,0.19,-0.12,26.18,27.65,-57.54
-1.01,0.19,-0.13,21.77,31.5,-54.81
-1.09,0.19,-0.15,19.32,37.24,-53.34
-1.11,0.22,-0.16,18.41,37.17,-56.28
-1.14,0.21,-0.13,22.96,29.26,-62.23
-1.02,0.31,-0.04,25.9,18.83,-67.06
-0.93,0.36,-0.02,24.29,13.16,-69.79
-0.86,0.36,0.01,19.88,6.86,-71.33
-0.83,0.37,0.02,8.19,-0.35,-71.96
-0.85,0.37,0,-7.07,-6.65,-68.32
-0.9,0.29,0.05,-22.26,-1.82,-64.82
-1.04,0.16,0.1,-32.13,9.87,-60.83
-1.11,0.06,0.17,-31.15,18.62,-56.56
-1.2,-0.04,0.26,-18.62,26.18,-51.59
-1.27,-0.09,0.49,-3.78,34.16,-42.56
