Accel_x,Accel_y,Accel_z
0.936,-0.578,0.54
0.945,-0.592,0.538
0.931,-0.616,0.51
0.886,-0.643,0.46
0.857,-0.595,0.466
0.823,-0.635,0.387
0.747,-0.644,0.306
0.7,-0.661,0.262
0.671,-0.681,0.184
0.615,-0.697,0.122
0.576,-0.72,0.103
0.554,-0.728,0.077
0.521,-0.729,0.062
0.504,-0.748,0.061
0.511,-0.768,0.038
0.516,-0.784,0.027
0.527,-0.78,0.02
0.544,-0.781,0.019
0.551,-0.79,0.023
0.57,-0.797,0.013
0.58,-0.802,0.003
0.603,-0.803,-0.01
0.617,-0.801,-0.02
0.653,-0.804,-0.033
0.679,-0.809,-0.045
0.704,-0.813,-0.072
0.723,-0.815,-0.099
0.749,-0.815,-0.115
0.762,-0.822,-0.122
0.773,-0.803,-0.131
0.773,-0.846,-0.136
0.796,-0.819,-0.12
0.817,-0.792,-0.106
0.826,-0.794,-0.099
0.822,-0.79,-0.09
0.82,-0.793,-0.072
0.814,-0.789,-0.059
0.813,-0.782,-0.051
0.812,-0.783,-0.027
0.816,-0.786,-0.008
0.821,-0.787,0.002
0.813,-0.793,0
0.804,-0.799,-0.018
0.774,-0.799,-0.038
0.739,-0.797,-0.041
0.706,-0.793,-0.041
0.692,-0.787,-0.031
0.669,-0.786,-0.017
0.655,-0.785,-0.007
0.65,-0.783,0.005
0.645,-0.777,0.018
0.64,-0.773,0.038
0.651,-0.766,0.049
0.661,-0.761,0.067
0.679,-0.759,0.072
0.682,-0.763,0.07
0.684,-0.765,0.068
0.688,-0.764,0.062
0.701,-0.761,0.061
0.712,-0.764,0.048
0.717,-0.767,0.038
0.73,-0.768,0.033
0.741,-0.773,0.03
0.873,-0.772,0.023
0.753,-0.771,0.026
0.755,-0.764,0.028
0.761,-0.751,0.038
0.766,-0.737,0.059
0.782,-0.731,0.078
0.803,-0.726,0.083
0.807,-0.72,0.08
0.807,-0.713,0.073
0.799,-0.706,0.064
0.786,-0.696,0.059
0.781,-0.689,0.046
0.774,-0.687,0.03
0.753,-0.678,0.021
0.743,-0.674,0.006
0.739,-0.664,-0.017
0.713,-0.657,-0.031
0.686,-0.644,-0.047
0.665,-0.644,-0.055
0.656,-0.643,-0.068
0.63,-0.642,-0.093
0.595,-0.635,-0.11
0.553,-0.627,-0.147
0.529,-0.617,-0.2
0.461,-0.604,-0.224
0.428,-0.605,-0.206
0.369,-0.565,-0.272
0.354,-0.566,-0.282
0.322,-0.567,-0.306
0.298,-0.556,-0.318
0.284,-0.529,-0.341
0.282,-0.504,-0.354
0.282,-0.491,-0.371
0.274,-0.461,-0.405
0.257,-0.433,-0.427
0.248,-0.412,-0.48
0.225,-0.392,-0.561
0.198,-0.383,-0.663
0.174,-0.368,-0.717
0.16,-0.36,-0.83
0.12,-0.352,-0.927
0.07,-0.349,-0.967
0.02,-0.358,-1.026
-0.004,-0.372,-1.055
-0.052,-0.383,-1.064
-0.1,-0.41,-1.069
-0.147,-0.438,-1.065
-0.163,-0.46,-1.038
-0.184,-0.473,-1.001
-0.19,-0.475,-0.968
-0.186,-0.471,-0.952
-0.183,-0.468,-0.93
-0.179,-0.459,-0.915
-0.165,-0.438,-0.912
-0.146,-0.423,-0.925
-0.118,-0.388,-0.934
-0.166,-0.254,-1.686
-0.178,-0.291,-1.748
-0.206,-0.314,-1.842
-0.281,-0.285,-1.909
-0.325,-0.202,-1.897
-0.388,-0.03,-1.798
-0.449,-0.065,-1.724
-0.511,-0.01,-1.541
-0.533,0.062,-1.37
-0.512,0.088,-1.092
-0.498,0.12,-0.95
-0.439,0.082,-0.872
-0.357,0.085,-0.725
-0.311,0.097,-0.59
-0.225,0.082,-0.493
-0.143,-0.002,-0.465
-0.072,-0.13,-0.403
-0.042,-0.271,-0.305
0.015,-0.33,-0.22
0.1,-0.429,-0.185
0.203,-0.494,-0.127
0.257,-0.512,-0.092
0.368,-0.542,-0.09
0.449,-0.543,-0.097
0.508,-0.54,-0.087
0.537,-0.535,-0.032
0.597,-0.538,0.047
0.63,-0.556,0.087
0.643,-0.584,0.158
0.65,-0.597,0.22
0.66,-0.613,0.248
0.668,-0.618,0.289
0.666,-0.624,0.317
0.662,-0.631,0.326
0.661,-0.646,0.332
0.663,-0.65,0.322
0.664,-0.655,0.311
0.664,-0.664,0.286
0.663,-0.668,0.249
0.663,-0.677,0.222
0.664,-0.688,0.154
0.665,-0.695,0.088
0.661,-0.711,0.034
0.651,-0.72,0.016
0.645,-0.723,-0.001
0.639,-0.727,-0.01
0.645,-0.724,-0.011
0.658,-0.723,-0.015
0.648,-0.732,-0.044
0.637,-0.736,-0.066
0.622,-0.747,-0.08
0.611,-0.754,-0.08
0.603,-0.76,-0.079
0.599,-0.763,-0.077
0.597,-0.764,-0.076
0.611,-0.768,-0.073
0.628,-0.776,-0.07
0.639,-0.788,-0.067
0.651,-0.794,-0.071
