Accel_x,Accel_y,Accel_z
0.663,0.304,1.099
0.718,0.214,1.095
0.782,0.198,1.107
0.712,0.221,1.115
0.66,0.213,1.066
0.603,0.153,1.007
0.611,0.213,0.867
0.704,0.275,0.752
0.78,0.429,0.734
0.788,0.595,0.682
0.658,0.615,0.63
0.549,0.6,0.618
0.53,0.574,0.677
0.457,0.47,0.547
0.443,0.457,0.421
0.556,0.386,0.748
0.556,0.249,0.738
0.487,0.292,0.602
0.436,0.294,0.574
0.508,0.23,0.61
0.542,0.206,0.589
0.563,0.246,0.564
0.551,0.346,0.604
0.524,0.386,0.624
0.544,0.359,0.619
0.501,0.295,0.637
0.557,0.231,0.607
0.608,0.315,0.601
0.615,0.31,0.562
0.626,0.383,0.6
0.496,0.428,0.636
0.515,0.381,0.655
0.605,0.318,0.597
0.719,0.266,0.499
0.74,0.331,0.459
0.751,0.363,0.485
0.746,0.389,0.469
0.755,0.354,0.441
0.735,0.342,0.397
0.721,0.325,0.399
0.731,0.284,0.398
0.743,0.296,0.41
0.743,0.321,0.419
0.753,0.339,0.446
0.747,0.343,0.449
0.73,0.345,0.456
0.78,0.305,0.442
0.788,0.286,0.429
0.813,0.269,0.414
0.83,0.274,0.379
0.846,0.303,0.368
0.857,0.346,0.361
0.857,0.371,0.343
0.867,0.375,0.351
0.877,0.324,0.361
0.882,0.296,0.376
0.912,0.287,0.379
0.922,0.295,0.402
0.933,0.319,0.433
0.93,0.328,0.448
0.906,0.305,0.505
0.773,0.325,0.531
0.744,0.375,0.555
0.742,0.342,0.584
0.758,0.308,0.573
0.818,0.281,0.593
0.834,0.196,0.583
0.873,0.158,0.572
0.913,0.199,0.568
0.932,0.247,0.545
0.928,0.242,0.53
0.907,0.184,0.516
0.895,0.163,0.485
0.882,0.138,0.468
0.869,0.137,0.468
0.864,0.141,0.457
0.868,0.151,0.456
0.862,0.156,0.45
0.858,0.152,0.453
0.888,0.144,0.46
0.886,0.132,0.457
0.882,0.129,0.467
0.888,0.115,0.469
0.884,0.117,0.473
0.879,0.117,0.462
0.869,0.106,0.457
0.866,0.095,0.452
0.856,0.099,0.449
0.858,0.104,0.451
0.862,0.114,0.461
0.86,0.109,0.475
0.862,0.12,0.473
0.838,0.149,0.446
0.833,0.154,0.419
0.849,0.121,0.411
0.857,0.109,0.4
0.889,0.1,0.409
0.884,0.09,0.416
