Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-0.93,-0.33,-0.14,0.35,-2.24,-0.7
-0.93,-0.33,-0.14,0.49,-2.03,-1.05
-0.93,-0.34,-0.14,0.49,-2.24,-1.12
-0.94,-0.34,-0.14,0.21,-2.1,-1.33
-0.93,-0.33,-0.14,0.35,-2.17,-0.91
-0.93,-0.33,-0.14,0.7,-2.17,-0.56
-0.93,-0.33,-0.14,0.77,-2.38,-0.35
-0.93,-0.33,-0.13,0.56,-2.52,-0.7
-0.93,-0.32,-0.14,-0.21,-2.45,-0.28
-0.94,-0.31,-0.15,-0.49,-1.75,-0.21
-0.94,-0.32,-0.14,0,-2.31,-0.77
-0.93,-0.33,-0.14,-0.14,-2.8,-0.84
-0.93,-0.33,-0.14,-0.49,-2.8,-0.91
-0.93,-0.32,-0.14,-0.07,-2.73,-1.26
-0.93,-0.33,-0.14,-0.14,-2.66,-1.12
-0.93,-0.34,-0.14,-0.14,-2.73,-0.98
-0.93,-0.34,-0.14,-0.56,-2.45,-1.33
-0.93,-0.34,-0.14,-0.49,-2.66,-0.98
-0.94,-0.34,-0.14,-0.42,-2.66,-0.77
-0.93,-0.33,-0.14,-0.14,-2.45,-0.56
-0.93,-0.33,-0.14,0,-2.38,-0.63
-0.93,-0.34,-0.14,0.7,-2.31,-0.49
-0.93,-0.33,-0.13,0.84,-2.1,-0.49
-0.94,-0.33,-0.13,0.56,-2.1,-0.14
-0.94,-0.33,-0.14,0.84,-2.17,-0.35
-0.93,-0.32,-0.14,0.7,-2.31,-0.49
-0.94,-0.32,-0.14,0.42,-2.24,-0.77
-0.93,-0.32,-0.14,0.35,-2.38,-0.77
-0.93,-0.33,-0.14,0.14,-2.45,-0.84
-0.93,-0.33,-0.14,-0.35,-2.38,-0.84
-0.93,-0.33,-0.14,0.14,-2.66,-0.84
-0.93,-0.34,-0.15,0.28,-2.45,-1.05
-0.93,-0.34,-0.14,0.21,-2.52,-0.98
-0.93,-0.34,-0.14,0.07,-2.59,-0.98
-0.93,-0.33,-0.13,-0.21,-2.45,-0.77
-0.94,-0.33,-0.14,-0.28,-2.45,-0.77
-0.93,-0.33,-0.14,-0.21,-2.31,-0.56
-0.94,-0.33,-0.14,-0.21,-2.31,-0.56
-0.94,-0.33,-0.14,-0.56,-2.17,-0.63
-0.94,-0.32,-0.13,0,-2.59,-0.49
-0.93,-0.32,-0.14,-0.21,-2.52,-0.63
-0.94,-0.32,-0.14,-0.28,-2.52,-0.98
-0.94,-0.33,-0.14,-0.21,-2.45,-0.91
-0.93,-0.33,-0.14,-0.07,-2.52,-1.05
-0.93,-0.34,-0.14,0.14,-2.45,-0.91
-0.93,-0.33,-0.14,0.07,-2.38,-0.77
-0.94,-0.33,-0.14,0.07,-2.24,-0.7
-0.94,-0.32,-0.14,0.7,-2.31,-0.42
-0.93,-0.33,-0.14,0.63,-2.24,-0.28
-0.94,-0.33,-0.13,0.07,-2.24,-0.56
-0.94,-0.32,-0.13,-0.56,-2.52,-0.56
-0.93,-0.32,-0.14,-0.49,-2.31,-0.77
-0.93,-0.32,-0.14,0.28,-2.31,-0.7
-0.93,-0.33,-0.14,0.42,-2.38,-0.84
-0.93,-0.33,-0.15,0.14,-2.45,-0.84
-0.93,-0.34,-0.15,0.28,-2.59,-0.98
-0.93,-0.34,-0.14,-0.35,-2.59,-0.91
-0.93,-0.34,-0.14,-0.21,-2.66,-1.05
-0.93,-0.34,-0.13,-1.05,-2.52,-1.12
-0.93,-0.33,-0.13,-0.84,-2.38,-0.98
-0.94,-0.33,-0.14,-0.21,-2.52,-0.63
-0.94,-0.33,-0.14,-0.28,-2.24,-0.56
-0.93,-0.33,-0.14,0,-2.03,-0.63
-0.94,-0.33,-0.14,-0.07,-2.17,-0.7
-0.93,-0.33,-0.14,0.42,-2.1,-0.7
-0.93,-0.33,-0.15,0.42,-2.03,-0.84
-0.93,-0.33,-0.14,0.42,-2.17,-0.84
-0.93,-0.33,-0.14,0.63,-2.45,-0.84
-0.93,-0.33,-0.14,0.35,-2.24,-1.19
-0.93,-0.33,-0.13,0.14,-2.38,-0.84
-0.94,-0.33,-0.13,-0.28,-2.45,-0.91
-0.94,-0.33,-0.14,-0.07,-2.45,-0.77
-0.94,-0.33,-0.13,-0.28,-2.38,-0.84
-0.94,-0.33,-0.14,-0.42,-2.31,-0.84
-0.94,-0.33,-0.14,-0.28,-2.52,-0.98
-0.93,-0.33,-0.14,-0.14,-2.45,-0.77
-0.93,-0.33,-0.14,0.07,-2.45,-0.84
-0.93,-0.33,-0.14,0.14,-2.52,-0.56
-0.93,-0.33,-0.14,0.49,-2.45,-0.63
-0.93,-0.33,-0.14,0.21,-2.45,-0.7
-0.93,-0.33,-0.14,0.56,-2.52,-0.63
-0.93,-0.33,-0.14,0.84,-2.31,-1.05
-0.94,-0.33,-0.13,0.49,-2.24,-0.98
-0.93,-0.33,-0.14,0.7,-2.31,-0.91
-0.93,-0.34,-0.14,0.56,-1.89,-0.91
-0.93,-0.34,-0.14,0.14,-2.03,-0.91
-0.93,-0.34,-0.14,-0.21,-2.31,-0.77
-0.93,-0.33,-0.14,-0.21,-2.45,-0.42
-0.94,-0.33,-0.14,0.07,-2.38,-0.35
-0.93,-0.33,-0.14,0,-2.17,-0.56
-0.93,-0.33,-0.14,0.14,-2.17,-0.7
-0.93,-0.33,-0.14,0.49,-2.17,-0.7
-0.93,-0.33,-0.14,0.49,-2.03,-0.84
-0.93,-0.33,-0.14,0.7,-2.17,-0.77
-0.93,-0.33,-0.14,0.56,-2.45,-0.98
-0.93,-0.33,-0.14,0.28,-2.31,-0.42
-0.94,-0.33,-0.14,0.35,-2.03,-0.98
-0.94,-0.33,-0.14,-0.07,-2.24,-0.98
-0.94,-0.32,-0.14,0.07,-2.38,-0.91
-0.93,-0.32,-0.14,-0.07,-2.38,-1.05
-0.93,-0.33,-0.14,-0.28,-2.52,-1.19
-0.94,-0.33,-0.14,-0.42,-2.59,-0.98
-0.94,-0.33,-0.14,-0.35,-2.45,-1.26
-0.94,-0.33,-0.14,0.14,-2.38,-1.05
-0.93,-0.33,-0.13,0.56,-2.17,-0.7
-0.93,-0.33,-0.14,-0.14,-2.03,-0.77
-0.93,-0.33,-0.14,0.28,-2.45,-0.42
-0.93,-0.33,-0.14,0.28,-2.24,-0.28
-0.93,-0.33,-0.14,0.56,-2.45,-0.14
-0.93,-0.33,-0.14,0.21,-2.31,-0.91
-0.94,-0.33,-0.14,0,-2.1,-1.12
-0.93,-0.33,-0.14,0.56,-2.24,-1.19
-0.93,-0.33,-0.14,0.7,-2.24,-1.4
-0.93,-0.33,-0.14,0.7,-2.17,-1.4
-0.93,-0.34,-0.14,0.28,-2.45,-0.91
-0.93,-0.34,-0.13,-0.21,-2.38,-0.98
-0.94,-0.33,-0.13,-0.21,-2.38,-0.7
-0.93,-0.33,-0.13,-0.21,-2.45,-0.77
-0.94,-0.33,-0.14,-0.14,-2.45,-0.49
-0.93,-0.33,-0.14,-0.14,-2.45,-0.42
-0.93,-0.33,-0.14,-0.28,-2.45,-0.49
-0.93,-0.33,-0.15,-0.21,-2.38,-0.84
-0.93,-0.33,-0.14,0.35,-2.31,-0.77
-0.93,-0.33,-0.14,0.7,-2.17,-0.98
-0.94,-0.33,-0.14,0.91,-2.24,-0.84
-0.94,-0.33,-0.14,0.56,-2.1,-0.91
-0.94,-0.33,-0.14,0.49,-2.17,-0.98
-0.93,-0.33,-0.14,0.28,-2.24,-1.19
-0.93,-0.33,-0.14,0.21,-2.31,-1.4
-0.93,-0.33,-0.14,0.42,-2.31,-0.98
-0.93,-0.34,-0.14,0.35,-2.45,-0.7
-0.93,-0.34,-0.13,-0.07,-2.38,-0.49
-0.93,-0.33,-0.14,-0.21,-2.17,-0.56
-0.93,-0.33,-0.14,0,-2.24,-0.49
-0.94,-0.33,-0.14,0.28,-2.38,-0.49
-0.94,-0.32,-0.14,0.42,-2.31,-0.35
-0.94,-0.32,-0.14,0.63,-2.1,-0.42
-0.94,-0.33,-0.14,0.63,-1.96,-0.7
-0.93,-0.33,-0.14,0.98,-2.1,-0.91
-0.93,-0.33,-0.15,0.77,-2.24,-0.91
-0.93,-0.33,-0.14,0,-2.1,-1.26
-0.93,-0.33,-0.14,0.07,-2.24,-1.19
-0.93,-0.33,-0.14,0.35,-2.38,-0.77
-0.93,-0.34,-0.14,0.35,-2.24,-0.77
-0.93,-0.34,-0.14,-17.92,-2.45,-0.63
-0.94,-0.33,-0.13,-0.49,-2.38,-0.63
-0.94,-0.33,-0.14,-0.42,-2.38,-0.63
-0.93,-0.33,-0.14,0.07,-2.45,-0.49
-0.93,-0.33,-0.14,0,-2.38,-0.77
-0.93,-0.33,-0.14,0.42,-2.03,-0.84
-0.93,-0.33,-0.14,0.42,-2.17,-0.63
-0.93,-0.33,-0.14,0.56,-2.24,-0.7
-0.93,-0.33,-0.14,0.28,-2.1,-0.7
