Accel_x,Accel_y,Accel_z,Gyr_x,Gyr_y,Gyr_z
-1.01,-0.15,-0.39,28.7,-12.32,-94.78
-0.79,-0.24,-0.38,19.04,-18.13,-92.19
-0.73,-0.38,-0.37,20.51,-17.64,-87.71
-0.78,-0.39,-0.31,24.43,-14.7,-84.91
-0.84,-0.34,-0.25,11.69,-16.38,-81.55
-0.79,-0.33,-0.15,11.48,-12.25,-78.26
-0.83,-0.25,-0.11,8.12,-7.14,-74.76
-0.85,-0.22,-0.07,8.54,-1.68,-74.13
-0.94,-0.19,-0.07,13.93,9.17,-73.99
-0.96,-0.26,-0.07,19.95,13.37,-71.75
-0.99,-0.22,-0.06,42.21,22.96,-73.08
-1.03,-0.21,-0.1,48.65,20.65,-72.87
-1.03,-0.2,-0.15,47.46,18.27,-72.1
-0.99,-0.17,-0.2,43.75,18.06,-71.89
-0.98,-0.13,-0.22,39.76,18.41,-72.87
-0.95,-0.11,-0.21,35.56,16.24,-73.01
-0.91,-0.07,-0.18,28.7,13.3,-73.08
-0.88,-0.05,-0.18,23.8,11.69,-73.15
-0.87,-0.05,-0.18,19.6,11.69,-73.5
-0.91,-0.09,-0.24,15.47,12.04,-74.48
-0.99,-0.15,-0.33,13.02,11.55,-75.46
-1.06,-0.15,-0.38,10.43,7.35,-75.11
-1.12,-0.12,-0.4,8.54,3.57,-73.71
-1.13,-0.06,-0.36,6.37,0,-71.82
-1.14,0,-0.32,-0.14,-3.15,-69.3
-1.17,-0.01,-0.31,-7.35,-6.02,-68.18
-1.19,-0.04,-0.3,-16.45,-13.58,-65.31
-1.22,-0.03,-0.27,-31.43,-23.24,-59.43
-1.25,-0.02,-0.22,-50.4,-32.76,-50.19
-1.23,-0.03,-0.14,-57.96,-35.07,-43.82
-1.24,-0.01,0.03,-42.14,-43.19,-39.13
-1.2,-0.08,0.15,-24.01,-47.46,-29.47
-1.22,-0.16,0.14,-0.07,-42.63,-18.2
-1.37,-0.14,0.09,22.61,-38.78,-4.9
-1.53,0.02,0.06,42.7,-39.48,9.66
-1.6,0.28,0.02,59.01,-50.12,25.41
-1.62,0.49,0.04,66.85,-63.42,41.44
-1.62,0.69,0.14,73.78,-73.5,57.96
-1.57,0.85,0.19,76.02,-75.32,71.19
-1.52,0.81,-0.04,58.38,-71.61,83.02
-1.41,0.62,-0.36,28,-68.81,97.44
-1.24,0.42,-0.63,-24.85,-71.68,102.34
-1.07,0.2,-0.59,-54.11,-73.85,110.53
-0.91,-0.16,-0.45,-86.1,-64.89,123.55
-0.89,-0.55,-0.49,-94.15,-52.5,132.09
-0.92,-0.91,-0.68,-88.76,-36.89,139.72
-1.18,-1.12,-0.75,-78.96,-26.18,145.6
-1.32,-1.05,-0.75,-62.16,-12.04,147.28
-1.73,-1.13,-0.7,-58.1,-24.78,137.83
